RespondentID,CollectorID,StartDate,EndDate,Please confirm that you are at least 18 years old. ,Please select the metro area you are located in. ,Please enter your ZIP code. ,,,Please assign grades to the state of California on six timely issues (click the skip button for issues where you don't want to assign a grade).,,,,,,Please grade the state of California on disaster preparedness (click the skip button if you don't want to assign a grade).,What issue should be included in the next report card and why is it important to Californians?,Gender,Age,Household Income,Education,Location (Census Region)
3119184974,50956072,3/12/14 14:14,3/12/14 14:16,I confirm that I am at least 18 years old.,San Jose Metro Area,,95051,,C,D+,F,SKIP,SKIP,SKIP,C,"Illegal aliens should be deported. They should NOT be allowed to compete with California/US citizens for scarce jobs. Also, senior citizens should get the hand up that California can then remove from the illegal aliens.  Seniors are eating cat food!! Help them out.",Female,30-44,"$150,000+",Associate or bachelor degree,Pacific
3118617012,50956072,3/12/14 7:36,3/12/14 7:39,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94089,,F,D,B,SKIP,SKIP,A-,SKIP,City-county-state planning and relationships.,Female,45-60,"$100,000 - $149,999",Associate or bachelor degree,Pacific
3118592479,50956032,3/12/14 6:56,3/12/14 7:23,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94523,,C+,B,B+,C,A+,F,C,There are many Mentally ill individuals that as well as individuals who have other disabilities.  If these individuals receive the help they need then they can do a-lot for the state of California.,Male,45-60,"$150,000+",High school degree,Pacific
3118589434,50956032,3/12/14 6:52,3/12/14 6:55,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94708,,A-,C+,B-,B-,SKIP,A+,B,"Environmental issues, both planning for drought years and the bigger picture.  We are in danger of losing what we still have.",Female,> 60,"$150,000+",Graduate degree,Pacific
3118588772,50956032,3/12/14 6:51,3/12/14 6:55,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94610,,,D+,F,C-,C-,B-,SKIP,Environmental protections including global warming,Female,> 60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
3118586364,50956032,3/12/14 6:47,3/12/14 6:58,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94610,,C,C,C+,D+,D,B+,D+,"Climate change: Impacts critical environmental problems like drought, air & water pollution;  Disparity between wealthy & poor: Impacts economic development;  Taking care of infrastructure: Falling apart;",Female,> 60,"$150,000+",Associate or bachelor degree,Pacific
3118583880,50956032,3/12/14 6:43,3/12/14 6:45,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94945,,D-,C-,D+,C-,C-,F,D+,,Male,45-60,"$150,000+",Some college,Pacific
3118561581,50956032,3/12/14 6:05,3/12/14 6:07,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94530,,B,C,B+,SKIP,B-,B+,B,water,Female,45-60,"$150,000+",Associate or bachelor degree,Pacific
3118560381,50955952,3/12/14 6:03,3/12/14 6:19,I confirm that I am at least 18 years old.,Sacramento Metro Area,,95608,,SKIP,C,D-,SKIP,SKIP,D+,B-,The air quality. It is important to Californians because we need to be able to breathe. My area often has poor air quality and I know that there are other areas with worse air quality. Where the children should not be allowed to go outside.,Female,30-44,"$25,000 - $49,999",Some college,Pacific
3118558244,50955952,3/12/14 5:59,3/12/14 6:01,I confirm that I am at least 18 years old.,Sacramento Metro Area,,95670,,SKIP,SKIP,C,SKIP,C,D,SKIP,Green energy,Male,30-44,"$150,000+",Graduate degree,Pacific
3118555431,50956032,3/12/14 5:54,3/12/14 5:57,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94565,,SKIP,F,F,SKIP,SKIP,SKIP,SKIP,I have no idea whether the State of California is prepared for a disaster.,Female,> 60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
3118553856,50956072,3/12/14 5:51,3/12/14 5:54,I confirm that I am at least 18 years old.,San Jose Metro Area,,94086,,,B-,C+,C+,B-,A,SKIP,"Environmental and climate issues  Fracking, tar sands, pipelines",Female,> 60,"$50,000 - $99,999",Graduate degree,Pacific
3118553313,50956032,3/12/14 5:50,3/12/14 5:56,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94704,,,,C,C,C,B-,C-,Generating more revenue for Social Services,Female,45-60,"$0 - $24,999",Associate or bachelor degree,Pacific
3118551921,50956032,3/12/14 5:48,3/12/14 5:50,I confirm that I am at least 18 years old.,San Jose Metro Area,,94551,,C,C,C,SKIP,SKIP,F,C,,Female,45-60,"$25,000 - $49,999",Some college,Pacific
3118550841,50956032,3/12/14 5:46,3/12/14 5:49,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94044,,D+,C+,F,SKIP,F,A-,B,How are CA streets/traffic...,Female,30-44,"$100,000 - $149,999",Associate or bachelor degree,Pacific
3118548679,50956032,3/12/14 5:43,3/12/14 5:45,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94945,,A+,B,B+,C+,C,A-,C,Support of California's post-secondary schools and colleges. No much beyond the education of K-12 students is more important to our state than higher ed.,Male,> 60,"$100,000 - $149,999",Graduate degree,Pacific
3118548132,50956032,3/12/14 5:41,3/12/14 5:52,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94965,,A+,B-,C-,B,B+,A,A-,"Importance of Public Transportation to ALL areas (that's how your maid, nanny and waitress get to serve you--being in a high income area does NOT mean you don't need public transit), extending and funding access to public bus, train and ferry; extending affordable housing into ALL areas and building/renovating a million affordable homes; restarting unemployment benefits and revamping their bad computer system to make it more transparent and easy to use.",Female,45-60,"$25,000 - $49,999",Graduate degree,Pacific
3118547932,50956032,3/12/14 5:41,3/12/14 5:44,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94611,,A-,B-,B-,B-,C,A,A-,climate change,Female,> 60,"$150,000+",Graduate degree,Pacific
3118547803,50956032,3/12/14 5:41,3/12/14 5:45,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94931,,C,C,D,C,B,A+,B,oil and energy development via natural gas and shale oil.  Great revenue source that will help pay for improved roads and higher education.,Male,> 60,"$150,000+",Some college,Pacific
3118542250,50956032,3/12/14 5:32,3/12/14 5:33,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94611,,B+,C+,B,B+,B-,A+,B-,,Male,45-60,"$150,000+",Associate or bachelor degree,Pacific
3118541845,50956032,3/12/14 5:31,3/12/14 5:33,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94403,,SKIP,B,B-,C-,B,A-,SKIP,I don't know,Female,45-60,"$150,000+",Graduate degree,Pacific
3118540412,50956032,3/12/14 5:29,3/12/14 5:30,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94588,,A,B,C+,B+,D+,A+,C,,Male,> 60,"$150,000+",Graduate degree,Pacific
3118540366,50956072,3/12/14 5:28,3/12/14 5:30,I confirm that I am at least 18 years old.,San Jose Metro Area,,95138,,F,B+,A-,SKIP,A+,A,B+,,Female,18-29,"$150,000+",Some college,Pacific
3118540278,50956032,3/12/14 5:28,3/12/14 5:32,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94127,,B+,C-,D+,B-,F,B-,C+,"Reducing unemployment, improving education in predominantly Black & Hispanic schools (including intensive after care programs for kids from non-functioning homes), exposing those who are fighting high speed rail.",Male,> 60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
3118537517,50956032,3/12/14 5:24,3/12/14 5:25,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94530,,B,C,B,B-,C,B,B,,Male,45-60,"$150,000+",Associate or bachelor degree,Pacific
3118536428,50956032,3/12/14 5:16,3/12/14 5:24,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94541,,A-,C+,C-,C,A,B+,B,,Female,30-44,"$50,000 - $99,999",Associate or bachelor degree,Pacific
3118536366,50956032,3/12/14 5:22,3/12/14 5:25,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94127,,C+,D+,C,C-,C-,C+,C+,Budget items and pension shortfall,Male,45-60,"$100,000 - $149,999",Graduate degree,Pacific
3118536342,50956032,3/12/14 5:22,3/12/14 5:23,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94903,,B-,C+,C-,C+,B-,A-,B-,"Parks, environment, public transportation, alternative transportation, as in bicycling.",Female,> 60,"$25,000 - $49,999",Associate or bachelor degree,Pacific
3118535957,50956032,3/12/14 5:21,3/12/14 5:25,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94531,,A,C+,C+,SKIP,C+,A,SKIP,"Transit systems, road/highway improvement, addressing environmental issue, and cost of housing because these are all everyday issues Californians deal with and can attract or move people away from the state.",Female,30-44,"$100,000 - $149,999",Associate or bachelor degree,Pacific
3118535511,50956032,3/12/14 5:21,3/12/14 5:22,I confirm that I am at least 18 years old.,San Jose Metro Area,,94061,,A,C+,B-,B,C,A-,B,overall tax burden - because it disproportionately affects the poor and working class,Male,45-60,"$150,000+",Graduate degree,Pacific
3118535506,50956032,3/12/14 5:20,3/12/14 5:24,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94019,,,D+,D+,C+,B+,A,B+,"Environmental issues, fracking, water resources, alternative energy",Female,> 60,,Graduate degree,Pacific
3118535058,50956032,3/12/14 5:20,3/12/14 5:22,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94509,,F,C,D,SKIP,B,F,C-,the effectiveness of Core Curriculum,Female,45-60,"$50,000 - $99,999",Some college,Pacific
3118534905,50956032,3/12/14 5:20,3/12/14 5:22,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94549,,A,C,D,B,B,A-,D,Water conservation because the state is considering water transfers to So. Cal that will have financial impact to N. California.,Male,> 60,"$0 - $24,999",Graduate degree,Pacific
3118533508,50956032,3/12/14 5:17,3/12/14 5:20,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94542,,B-,C,B-,SKIP,B,A-,B,Infrastructure,Female,45-60,,Associate or bachelor degree,Pacific
3118533093,50955952,3/12/14 5:16,3/12/14 5:23,I confirm that I am at least 18 years old.,Sacramento Metro Area,,95831,,B,D+,B+,SKIP,C,A-,SKIP,"Free, high-quality preschool and child care for all children. The more access parents have increases their ability to work and provide for their families. The more prepared children are for kindergarten, the better their chances to succeed in school.",Female,> 60,"$150,000+",Graduate degree,Pacific
3118533018,50956072,3/12/14 5:16,3/12/14 5:18,I confirm that I am at least 18 years old.,San Jose Metro Area,,95050,,SKIP,SKIP,A,SKIP,A,A+,SKIP,,Female,45-60,"$100,000 - $149,999",Graduate degree,Pacific
3118532304,50956032,3/12/14 5:15,3/12/14 5:19,I confirm that I am at least 18 years old.,San Jose Metro Area,,94544,,C+,C-,C-,SKIP,SKIP,A,B,monitor money given to non-citizens for living expenses and do something about the constant shootings,Female,> 60,"$25,000 - $49,999",Some college,Pacific
3118523568,50956032,3/12/14 5:01,3/12/14 5:03,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94066,,A-,B-,A+,A,B+,A+,B,,Male,45-60,"$150,000+",Graduate degree,Pacific
3118523182,50956032,3/12/14 5:00,3/12/14 5:04,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94070,,SKIP,A-,C+,B-,B,B+,SKIP,State (and local) budget because it's pretty important.,Female,18-29,"$150,000+",High school degree,Pacific
3118522262,50956032,3/12/14 4:59,3/12/14 5:04,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94552,,A,C,B+,SKIP,C,A,B,"How will California factor in global warming which brings water, fire and energy use.",Female,45-60,"$100,000 - $149,999",Associate or bachelor degree,Pacific
3118522142,50956032,3/12/14 4:59,3/12/14 5:01,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94103,,B+,SKIP,SKIP,SKIP,B-,SKIP,C-,,Female,45-60,"$0 - $24,999",High school degree,Pacific
3118519611,50956072,3/12/14 4:55,3/12/14 4:57,I confirm that I am at least 18 years old.,San Jose Metro Area,,95112,,C-,B+,A-,A,B-,A-,D,all saftey,Male,45-60,"$150,000+",Graduate degree,Pacific
3118518445,50956032,3/12/14 4:53,3/12/14 4:56,I confirm that I am at least 18 years old.,San Jose Metro Area,,94587,,C,D,F,D,F,C,B,"Water issues-preservation  Redwood forests-preservation,banning of logging and immediate cloning of redwoods",Female,45-60,"$0 - $24,999",Some college,Pacific
3118517702,50955952,3/12/14 4:52,3/12/14 4:54,I confirm that I am at least 18 years old.,Sacramento Metro Area,,95713,,B+,C+,C+,C+,F,A+,C+,fracking...because it will destroy our environment,Female,> 60,,Some college,Pacific
3118516129,50956032,3/12/14 4:50,3/12/14 4:51,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94580,,A,SKIP,SKIP,A-,A,A+,SKIP,Affordable housing.,Male,> 60,"$0 - $24,999",Graduate degree,Pacific
3118513949,50956032,3/12/14 4:46,3/12/14 4:52,I confirm that I am at least 18 years old.,San Francisco Metro Area,,941132,,C,D,D,D,SKIP,B,SKIP,,Female,> 60,"$150,000+",Some college,Pacific
3118513280,50956032,3/12/14 4:45,3/12/14 4:50,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94597,,F,D,D-,A+,C-,D-,D,Taxation and regulation of businesses. Causing businesses and jobs to leave the state.,Female,45-60,"$100,000 - $149,999",Graduate degree,Pacific
3118512676,50956072,3/12/14 4:44,3/12/14 4:47,I confirm that I am at least 18 years old.,San Jose Metro Area,,94041,,A,A,F,B-,A,A,A,Repair of the roads. Important to anyone who drives.,Female,> 60,"$0 - $24,999",Associate or bachelor degree,Pacific
3118511934,50956032,3/12/14 4:43,3/12/14 4:47,I confirm that I am at least 18 years old.,San Jose Metro Area,,94588,,C-,C-,C-,C+,C+,B-,D+,Immigration,Female,45-60,"$150,000+",Associate or bachelor degree,Pacific
3118511909,50956032,3/12/14 4:44,3/12/14 4:45,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94061,,C+,D,F,C+,SKIP,A+,C,,Female,30-44,"$100,000 - $149,999",Some college,Pacific
3118510988,50956032,3/12/14 4:42,3/12/14 4:46,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94904,,A-,C-,SKIP,B-,B,A,B+,"Quality of early childhood care and services to support families - as the first 3 years and the care of the children and their parents is fundamental to healthy growth, development and success in school and adulthood.",Female,45-60,"$100,000 - $149,999",Associate or bachelor degree,Pacific
3118510500,50956032,3/12/14 4:41,3/12/14 4:47,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94115,,B,C,D-,D,C+,B,C,"Education broken down by elementary, middle, high school, community colleges, & higher.  The prison system.",Female,> 60,"$25,000 - $49,999",Graduate degree,Pacific
3118510490,50955952,3/12/14 4:41,3/12/14 4:46,I confirm that I am at least 18 years old.,Sacramento Metro Area,,95677,,C+,B,C+,SKIP,SKIP,SKIP,C+,Unemployment,Female,45-60,"$150,000+",Some college,Pacific
3118508502,50956032,3/12/14 4:38,3/12/14 4:39,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94118,,D,D,B,B-,A-,A+,B,,Female,45-60,"$150,000+",Associate or bachelor degree,Pacific
3118507612,50956032,3/12/14 4:37,3/12/14 4:41,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94066,,B-,B+,C-,SKIP,SKIP,F,D,"Prop 39 needs to be reformed so corporations pay their fare share.  Housing for families making less than $100,000",Female,30-44,"$0 - $24,999",Graduate degree,Pacific
3118503006,50956032,3/12/14 4:31,3/12/14 4:32,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94565,,SKIP,D+,D+,C-,C-,A,SKIP,,Female,45-60,"$25,000 - $49,999",Associate or bachelor degree,Pacific
3118502547,50956072,3/12/14 4:30,3/12/14 4:33,I confirm that I am at least 18 years old.,San Jose Metro Area,,94024,,B-,D,C-,C,C+,A-,B,water use/drought situation because it's happening,Female,18-29,"$150,000+",Associate or bachelor degree,Pacific
3118501792,50956072,3/12/14 4:29,3/12/14 4:32,I confirm that I am at least 18 years old.,San Jose Metro Area,,95136,,B,C+,D,C,C,A,C,Affordable housing because people are having to move out of state to be able to purchase a house of their own.,Female,30-44,"$100,000 - $149,999",Graduate degree,Pacific
3118500018,50956032,3/12/14 4:26,3/12/14 4:32,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94109,,B,D,D+,C,D-,C+,B-,"Rebuilding the infrastructure.  With the increase in population and the aging of our freeways, demands on water supply we need to address these issues.",Female,45-60,"$50,000 - $99,999",Graduate degree,Pacific
3118498078,50956032,3/12/14 4:24,3/12/14 4:25,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94597,,,D,C,,,A,C,,Female,> 60,"$100,000 - $149,999",Associate or bachelor degree,Pacific
3118497359,50956072,3/12/14 4:23,3/12/14 6:46,I confirm that I am at least 18 years old.,San Jose Metro Area,,95112,,D+,C,F,C,C,D-,D+,Drought!,Female,30-44,,High school degree,Pacific
3118497280,50955952,3/12/14 4:23,3/12/14 4:24,I confirm that I am at least 18 years old.,Sacramento Metro Area,,95662,,A+,C+,F,F,F,F,B-,,Female,45-60,"$0 - $24,999",Associate or bachelor degree,Pacific
3118495135,50955952,3/12/14 4:20,3/12/14 4:23,I confirm that I am at least 18 years old.,Sacramento Metro Area,,95819,,B,C,C,C-,C,C,B-,Whether the state has been doing enough to prepare for the impending drought. It's important because we need to do more.,Female,45-60,"$100,000 - $149,999",Associate or bachelor degree,Pacific
3118494848,50956032,3/12/14 4:19,3/12/14 4:21,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94044,,B,C+,C+,B,A-,A+,SKIP,Fracking is a dangerous environmental issue.,Female,45-60,"$100,000 - $149,999",Associate or bachelor degree,Pacific
3118494710,50956072,3/12/14 4:19,3/12/14 4:22,I confirm that I am at least 18 years old.,San Jose Metro Area,,94024,,A+,B+,C,SKIP,A,A,B,,Male,45-60,"$150,000+",Graduate degree,Pacific
3118494428,50956032,3/12/14 4:18,3/12/14 4:19,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94112,,B,B+,B,C+,A+,B,B,,Female,18-29,"$25,000 - $49,999",Associate or bachelor degree,Pacific
3118494323,50956032,3/12/14 4:19,3/12/14 4:21,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94401,,SKIP,C,C-,B,B-,A,C+,,Female,> 60,"$100,000 - $149,999",Some college,Pacific
3118493114,50956032,3/12/14 4:17,3/12/14 4:19,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94565,,A-,B-,C,B-,C,A-,B,"Water conservation at all times, so we can be prepared for droughts.",Female,45-60,"$150,000+",Some college,Pacific
3118492271,50956032,3/12/14 4:16,3/12/14 4:19,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94903,,D+,B-,C+,SKIP,SKIP,C+,B-,acceptance of LGBT individuals and families in schools,Female,45-60,"$0 - $24,999",Graduate degree,Pacific
3118491943,50955952,3/12/14 4:15,3/12/14 4:18,I confirm that I am at least 18 years old.,Sacramento Metro Area,,95831,,B,A-,B,B,B-,B+,A-,tunnels/water issues,Female,45-60,"$150,000+",Graduate degree,Pacific
3118490282,50956072,3/12/14 4:13,3/12/14 4:15,I confirm that I am at least 18 years old.,San Jose Metro Area,,94306,,B+,B-,B-,C-,C+,B,C,Gun control,Male,45-60,"$150,000+",Graduate degree,Pacific
3118489610,50955952,3/12/14 4:12,3/12/14 4:14,I confirm that I am at least 18 years old.,Sacramento Metro Area,,95682,,SKIP,D+,SKIP,SKIP,SKIP,D+,SKIP,"Human Trafficking Issues need to be addressed, laws need to be made to better protect the girls when rescued and given a safe place and laws convicting the Johns and Pimps need to be stricter.",Female,30-44,"$50,000 - $99,999",Some college,Pacific
3118487130,50956032,3/12/14 4:09,3/12/14 4:14,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94901,,C+,B-,B+,SKIP,D,B+,B-,Please grade the state of California on environmental stewardship,Female,> 60,"$100,000 - $149,999",Graduate degree,Pacific
3118484414,50956032,3/12/14 4:06,3/12/14 4:11,I confirm that I am at least 18 years old.,San Francisco Metro Area,,95409,,C+,B-,D+,C,D+,A-,C-,The handling of over populated cities and the need to improve roads and handle the increase of people. Better organization is needed and less talk.Action!!!,Female,> 60,,Associate or bachelor degree,Pacific
3118481024,50956032,3/12/14 4:02,3/12/14 4:05,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94507,,A,A,C,D,SKIP,A-,SKIP,Progress for undocumented residents to more fully participate in California.,Male,> 60,"$150,000+",Graduate degree,Pacific
3118478009,50956032,3/12/14 3:58,3/12/14 4:02,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94061,,B+,,SKIP,SKIP,SKIP,SKIP,B+,quality child care for newborns - 3 years of age,Female,30-44,"$150,000+",Graduate degree,Pacific
3118475956,50956072,3/12/14 3:56,3/12/14 3:57,I confirm that I am at least 18 years old.,San Jose Metro Area,,95030,,B+,B-,D,SKIP,D,A-,B,environmental conservation,Female,> 60,"$150,000+",Graduate degree,Pacific
3118473213,50956032,3/12/14 3:52,3/12/14 3:56,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94550,,A-,B-,C+,C,C+,D,B,"Water, mass transit and garbage (recycling)",Male,> 60,"$150,000+",Some college,Pacific
3118472250,50956032,3/12/14 3:51,3/12/14 3:53,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94531,,A,C-,D,D-,C+,A+,B,none,Male,> 60,"$25,000 - $49,999",Some college,Pacific
3118471398,50956072,3/12/14 3:49,3/12/14 3:54,I confirm that I am at least 18 years old.,San Jose Metro Area,,95123,,B-,C+,B-,SKIP,B,C,B-,,Female,30-44,"$50,000 - $99,999",Associate or bachelor degree,Pacific
3118471120,50955952,3/12/14 3:50,3/12/14 3:52,I confirm that I am at least 18 years old.,Sacramento Metro Area,,95742,,SKIP,B,SKIP,SKIP,SKIP,F,SKIP,,Male,30-44,"$100,000 - $149,999",Associate or bachelor degree,Pacific
3118470867,50956072,3/12/14 3:50,3/12/14 3:51,I confirm that I am at least 18 years old.,San Jose Metro Area,,95123,,B,B,C+,B+,D+,B,B-,Dought,Female,> 60,"$100,000 - $149,999",Graduate degree,Pacific
3118470175,50955952,3/12/14 3:48,3/12/14 3:51,I confirm that I am at least 18 years old.,Sacramento Metro Area,,95691,,B,F,C,C-,C,B-,SKIP,Water,Female,> 60,"$150,000+",Some college,Pacific
3118468769,50955952,3/12/14 3:47,3/12/14 3:49,I confirm that I am at least 18 years old.,Sacramento Metro Area,,95682,,B-,B-,C,A+,SKIP,SKIP,B-,smog--because we are killing ourselves!,Female,30-44,"$150,000+",Graduate degree,Pacific
3118467652,50955952,3/12/14 3:45,3/12/14 3:47,I confirm that I am at least 18 years old.,Sacramento Metro Area,,95746,,F,C,D,SKIP,SKIP,B,SKIP,,Male,45-60,"$100,000 - $149,999",Associate or bachelor degree,Pacific
3118467382,50956032,3/12/14 3:45,3/12/14 3:51,I confirm that I am at least 18 years old.,San Francisco Metro Area,,94103,,A-,B,B+,F,C+,A,C-,High-speed train,Male,45-60,"$100,000 - $149,999",Associate or bachelor degree,Pacific
3118466616,50955952,3/12/14 3:44,3/12/14 3:48,I confirm that I am at least 18 years old.,Sacramento Metro Area,,95843,,F,D-,D,F,F,F,B-,getting state gov out of the hands of the current incompatants,Female,> 60,"$50,000 - $99,999",Some college,Pacific
